4,0
9,4
9,5
9,7
9,8
9,12
9,15
9,16
9,17
9,19
9,20
9,22
9,26
9,28
9,38
9,39
9,41
9,46
9,47
9,52
9,55
9,56
9,60
9,61
9,72
9,74
9,75
9,77
9,78
9,80
9,81
9,82
9,83
4,0
4,11
4,24
4,30
4,34
4,37
1,41
1,43
1,45
1,56
1,57
1,61
1,70
1,80
1,82
1,85
1,91
1,94
1,96
1,97
1,99
1,1
1,4
1,5
1,7
1,9
1,10
1,16
9,0
1,18
9,0
9,1
1,20
9,2
1,21
9,3
9,4
9,5
9,6
1,25
9,7
1,26
9,8
9,9
9,10
9,11
9,12
1,31
9,13
9,14
1,33
9,15
1,34
9,16
9,17
1,36
9,18
1,44
1,45
1,46
1,48
1,50
1,51
1,55
1,59
1,65
4,35
4,36
4,41
4,43
4,45
4,46
4,47
4,51
4,53
4,56
4,57
4,58
9,0
4,89
4,95
4,97
4,3
4,5
4,10
4,16
4,18
4,21
4,22
4,23
4,25
4,29
4,31
4,34
4,35
4,39
4,45
4,47
4,50
4,53
4,54
4,55
4,57
4,60
4,62
4,67
4,70
4,74
1,0
4,76
1,1
1,2
4,78
1,3
1,4
4,80
1,5
1,6
4,82
1,7
1,8
4,84
1,9
1,10
1,11
1,12
1,13
4,89
1,14
1,15
1,16
1,17
1,18
1,19
4,95
1,20
1,21
1,22
1,23
1,24
4,0
1,25
1,26
1,27
1,28
4,4
1,29
1,30
1,31
1,32
1,33
4,9
1,34
1,35
4,11
1,36
4,12
1,37
4,13
1,38
1,39
4,15
1,40
1,41
4,17
1,42
1,43
1,44
1,45
4,21
1,46
1,47
4,23
1,48
4,24
1,49
4,25
1,50
1,51
1,52
4,28
1,53
1,54
1,55
4,31
1,56
1,57
1,58
1,59
1,60
4,36
1,61
4,37
1,62
9,66
1,63
9,67
1,64
9,68
1,65
9,69
1,66
9,70
1,67
0,0
9,72
4,0
9,73
4,1
9,74
4,2
9,75
4,3
9,76
4,4
9,77
4,5
9,78
4,6
9,79
4,7
9,80
4,8
9,81
4,9
9,82
4,10
9,83
4,11
9,84
4,12
9,85
4,13
9,86
4,14
9,87
4,15
9,88
4,16
9,89
4,17
9,90
4,18
9,91
4,19
9,92
4,20
9,93
4,21
9,94
4,22
9,95
4,23
9,96
4,24
9,97
4,25
9,98
4,26
9,99
4,27
9,0
4,28
9,1
4,29
9,2
4,30
9,3
4,31
9,4
4,32
9,5
4,33
9,6
4,34
9,7
4,35
9,8
4,36
9,9
4,37
9,10
4,38
9,11
1,8
9,12
1,9
9,14
1,11
9,15
1,12
1,13
1,14
9,18
1,15
0,0
9,20
1,17
9,21
1,18
9,22
1,19
9,23
1,20
9,24
1,21
4,0
1,22
4,1
1,23
4,2
1,24
4,3
1,25
4,4
1,26
4,5
1,27
4,6
1,28
4,7
1,29
4,8
1,30
4,9
1,31
4,10
1,32
4,11
1,33
4,12
1,34
4,13
1,35
4,14
1,36
4,15
1,37
1,38
1,39
1,40
9,59
9,6
9,52
9,11
4,4
9,62
4,8
4,16
1,6
1,14
4,25
4,27
0,0
4,35
4,38
1,29
1,36
4,48
1,40
1,49
4,62
1,52
1,54
4,68
1,59
1,62
4,73
4,78
4,87
1,81
1,82
1,92
1,95
9,30
9,88
9,35
9,23
9,40
9,69
9,28
9,86
9,33
4,22
9,96
4,24
4,27
1,22
4,39
1,33
4,54
4,58
1,52
9,1
1,60
4,71
1,66
0,0
4,79
1,69
1,71
4,87
9,69
9,45
0,0
0,0
0,0
9,89
9,48
9,94
9,53
9,41
0,0
9,4
9,51
9,56
1,15
9,15
1,0
9,32
9,37
9,66
9,88
9,35
9,52
9,81
4,16
9,98
9,45
9,62
9,91
4,19
9,9
9,72
9,19
9,36
4,24
9,12
9,22
9,68
9,15
9,2
9,32
9,8
4,32
1,0
9,42
9,59
9,88
9,6
9,64
9,81
9,11
4,37
9,28
9,16
1,4
9,38
0,0
9,72
9,1
9,31
9,24
9,82
9,34
4,48
9,22
9,39
9,97
