devEUI,rssi,loraSNR,frequency,dr,fCnt,fPort,data,datetime,location
0004a30b001febcf,-115,-8.5,868100000,1,59,1,LOC29,2019-04-23 15:44:52.106305,svpt

0004a30b001febcf,-113,-5.5,868100000,3,0,1,LOC30,2019-04-23 15:45:27.733198,svpt

0004a30b001febcf,-114,-5.5,868500000,2,1,1,LOC1,2019-04-23 15:45:56.015017,svpt

0004a30b001febcf,-113,-2,868100000,2,2,1,LOC3,2019-04-23 15:46:21.066190,svpt

0004a30b001febcf,-115,-12.8,868300000,2,3,1,LOC8,2019-04-23 15:47:23.653846,svpt

0004a30b001febcf,-115,-7.3,868500000,2,4,1,LOC9,2019-04-23 15:47:35.529737,svpt

0004a30b001febcf,-114,-6.3,868100000,2,5,1,LOC11,2019-04-23 15:48:00.591957,svpt

0004a30b001febcf,-115,-7.5,868100000,2,0,1,LOC18,2019-04-23 15:50:07.612599,svpt

0004a30b001febcf,-111,-10.8,868500000,2,0,1,LOC21,2019-04-23 15:51:13.122463,svpt

0004a30b001febcf,-108,-7.3,868300000,2,1,1,LOC22,2019-04-23 15:51:18.950172,svpt

0004a30b001febcf,-115,-7.8,868100000,2,2,1,LOC23,2019-04-23 15:51:24.823962,svpt

0004a30b001febcf,-113,-5.3,868100000,1,3,1,LOC30,2019-04-23 15:53:13.437446,svpt

0004a30b001febcf,-115,-7,868300000,3,0,1,LOC9,2019-04-23 15:55:44.353591,svpt

0004a30b001febcf,-112,-1,868100000,3,1,1,LOC10,2019-04-23 15:55:49.813979,svpt

0004a30b001febcf,-115,-6.3,868500000,3,2,1,LOC11,2019-04-23 15:55:55.385371,svpt

0004a30b001febcf,-113,-11,868300000,3,3,1,LOC15,2019-04-23 15:56:43.444729,svpt

0004a30b001febcf,-115,-8.3,868500000,3,4,1,LOC16,2019-04-23 15:56:48.962158,svpt

0004a30b001febcf,-113,-3.3,868100000,3,5,1,LOC17,2019-04-23 15:56:54.439244,svpt

0004a30b001febcf,-105,-9.8,868300000,3,6,1,LOC21,2019-04-23 15:57:42.573185,svpt

0004a30b001febcf,-114,-7,868500000,3,7,1,LOC22,2019-04-23 15:57:48.042401,svpt

0004a30b001febcf,-113,-4.8,868100000,3,8,1,LOC23,2019-04-23 15:57:53.611938,svpt

0004a30b001febcf,-115,-7,868300000,3,9,1,LOC26,2019-04-23 15:58:34.520315,svpt

0004a30b001febcf,-115,-11.5,868500000,3,10,1,LOC27,2019-04-23 15:58:43.098903,svpt

0004a30b001febcf,-115,-4.8,868100000,3,11,1,LOC28,2019-04-23 15:58:48.619881,svpt

0004a30b001febcf,-114,-5.8,868500000,4,12,1,LOC1,2019-04-23 15:59:38.788915,svpt

0004a30b001febcf,-113,-5.5,868100000,4,13,1,LOC2,2019-04-23 15:59:44.159411,svpt

0004a30b001febcf,-113,-5,868100000,4,14,1,LOC4,2019-04-23 16:00:14.319039,svpt

0004a30b001febcf,-112,-9.8,868500000,4,15,1,LOC5,2019-04-23 16:00:36.134267,svpt

0004a30b001febcf,-114,-3.8,868100000,4,16,1,LOC6,2019-04-23 16:00:42.457042,svpt

0004a30b001febcf,-111,-9.8,868300000,3,17,1,LOC8,2019-04-23 16:01:33.195035,svpt

0004a30b001febcf,-113,-4.3,868100000,5,0,1,LOC8,2019-04-23 16:01:42.658824,svpt

0004a30b001febcf,-113,-4,868100000,3,0,1,LOC8,2019-04-23 16:01:59.713715,svpt

0004a30b001febcf,-112,-5,868500000,3,1,1,LOC9,2019-04-23 16:02:40.918697,svpt

0004a30b001febcf,-113,-2.5,868500000,5,0,1,LOC9,2019-04-23 16:02:45.501331,svpt

0004a30b001febcf,-112,0,868100000,4,1,1,LOC10,2019-04-23 16:02:50.814546,svpt

0004a30b001febcf,-110,-8.3,868300000,4,2,1,LOC11,2019-04-23 16:02:56.186387,svpt

0004a30b001febcf,-114,-2.3,868100000,4,3,1,LOC12,2019-04-23 16:03:14.849841,svpt

0004a30b001febcf,-113,-1.5,868100000,4,4,1,LOC13,2019-04-23 16:03:43.915380,svpt

0004a30b001febcf,-113,-10,868100000,4,5,1,LOC14,2019-04-23 16:04:16.030521,svpt

0004a30b001febcf,-114,-5.5,868100000,5,0,1,LOC15,2019-04-23 16:04:57.021597,svpt

0004a30b001febcf,-114,-6,868500000,4,1,1,LOC16,2019-04-23 16:05:10.617976,svpt

0004a30b001febcf,-112,-1.3,868100000,4,2,1,LOC17,2019-04-23 16:05:15.999869,svpt

0004a30b001febcf,-115,-6.3,868100000,3,3,1,LOC18,2019-04-23 16:05:43.165653,svpt

0004a30b001febcf,-112,-4.8,868100000,4,5,1,LOC21,2019-04-23 16:06:42.928797,svpt

0004a30b001febcf,-115,-6.8,868100000,4,6,1,LOC23,2019-04-23 16:07:11.890332,svpt

0004a30b001febcf,-114,-5.5,868100000,4,7,1,LOC24,2019-04-23 16:07:39.678150,svpt

0004a30b001febcf,-112,-4,868100000,3,8,1,LOC25,2019-04-23 16:08:14.122401,svpt

0004a30b001febcf,-107,-5,868500000,4,0,1,LOC25,2019-04-23 16:08:27.949076,svpt

0004a30b001febcf,-114,-5,868100000,4,1,1,LOC26,2019-04-23 16:08:37.316570,svpt

0004a30b001febcf,-112,-6.3,868500000,4,2,1,LOC27,2019-04-23 16:08:57.027975,svpt

0004a30b001febcf,-113,-2.5,868100000,4,3,1,LOC28,2019-04-23 16:09:06.407763,svpt

0004a30b001febcf,-111,-1.8,868100000,4,4,1,LOC29,2019-04-23 16:09:34.472387,svpt

0004a30b001febcf,-115,-6.8,868100000,4,5,1,LOC30,2019-04-23 16:10:06.505928,svpt

0004a30b001febcf,-114,-4.3,868500000,5,0,1,LOC1,2019-04-23 16:10:22.767029,svpt

0004a30b001febcf,-114,-3.5,868100000,5,1,1,LOC2,2019-04-23 16:10:28.029939,svpt

