devEUI,rssi,loraSNR,frequency,dr,fCnt,fPort,data,time
0004a30b0020096f,-55,8.5,868100000,5,29,1,Lg==,2019-02-26 22:22:56.930142
0004a30b0020096f,-57,9,868300000,5,30,1,9w==,2019-02-26 22:23:06.112364
0004a30b0020096f,-54,8.8,868300000,5,31,1,WQ==,2019-02-26 22:23:15.218007
0004a30b0020096f,-60,9,868500000,5,32,1,uw==,2019-02-26 22:23:24.336617
0004a30b0020096f,-59,8.8,868500000,5,33,1,Sw==,2019-02-26 22:23:33.514545
0004a30b0020096f,-59,9.3,868300000,5,34,1,+Q==,2019-02-26 22:23:42.627687
0004a30b0020096f,-60,9.5,868500000,5,35,1,hw==,2019-02-26 22:23:51.795442
0004a30b0020096f,-57,9.5,868100000,5,36,1,Zw==,2019-02-26 22:24:00.952310
0004a30b0020096f,-57,9,868100000,5,37,1,GA==,2019-02-26 22:24:10.066784
0004a30b0020096f,-63,10,868300000,5,38,1,Dg==,2019-02-26 22:24:19.220748
0004a30b0020096f,-57,8.3,868500000,5,39,1,cA==,2019-02-26 22:24:28.346035
0004a30b0020096f,-59,8.3,868100000,5,40,1,FA==,2019-02-26 22:24:37.511806
0004a30b0020096f,-54,8.8,868300000,5,40,1,FA==,2019-02-26 22:24:41.776153
0004a30b0020096f,-61,9.3,868500000,5,41,1,xA==,2019-02-26 22:24:50.948181
0004a30b0020096f,-60,9,868300000,5,42,1,bA==,2019-02-26 22:25:00.073846
0004a30b0020096f,-59,8,868100000,5,43,1,hg==,2019-02-26 22:25:09.252247
0004a30b0020096f,-61,8.3,868300000,5,44,1,gw==,2019-02-26 22:25:18.364721
0004a30b0020096f,-61,10,868100000,5,45,1,KA==,2019-02-26 22:25:27.520586
0004a30b0020096f,-77,8.5,868500000,5,46,1,Hg==,2019-02-26 22:25:36.640894
0004a30b0020096f,-67,8.8,868300000,5,46,1,Hg==,2019-02-26 22:25:40.916332
0004a30b0020096f,-57,10.5,868100000,4,47,1,KQ==,2019-02-26 22:25:50.140606
0004a30b0020096f,-48,9.5,868500000,5,48,1,PA==,2019-02-26 22:25:59.349605
0004a30b0020096f,-54,9,868500000,5,49,1,kA==,2019-02-26 22:26:08.470817
0004a30b0020096f,-54,8.8,868300000,5,50,1,Jg==,2019-02-26 22:26:21.949288
0004a30b0020096f,-54,8.8,868100000,5,51,1,1g==,2019-02-26 22:26:31.060805
0004a30b0020096f,-52,8.8,868100000,5,52,1,0Q==,2019-02-26 22:26:40.239404
